SNO,City,Cite,Site_Code,State,Query ID,,,Date,,pm2.5,pm10,AT,BP,SR,RH,WD,RF,NO,Nox,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene
1202,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210316,,,16-Mar-2021,,65.26,167.33,,732.44,,,110.61,,5.24,41.88,36.66,32.06,16.92,0.89,50.8,2.05,,0.7,1.04,0.17
1203,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210317,,,17-Mar-2021,,91.07,240.5,,731.18,,,157.51,,21.78,58.07,36.3,42.07,20.71,1.35,51.92,5.27,,2.94,4.86,1.89
1204,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210318,,,18-Mar-2021,,74.9,200.07,,731.24,,,112.92,,2.0,23.83,21.84,21.29,19.54,0.79,65.51,2.85,,0.46,0.41,0.05
1205,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210319,,,19-Mar-2021,,40.0,65.91,,731.26,,,100.25,,2.01,26.48,24.49,22.88,15.09,1.0,64.02,1.52,,0.23,0.21,0.03
1206,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210320,,,20-Mar-2021,,50.43,100.5,,730.33,,,172.7,,11.06,59.6,48.41,43.03,17.31,1.21,47.33,3.64,,1.8,2.88,0.71
1207,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210321,,,21-Mar-2021,,58.51,118.51,,729.48,,,147.72,,1.85,21.0,19.17,18.83,18.07,0.96,66.89,2.33,,0.33,0.3,0.02
1208,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210322,,,22-Mar-2021,,56.21,119.62,,731.61,,,143.83,,3.54,30.55,27.02,23.84,17.29,1.12,51.74,2.55,,0.4,0.53,0.08
1209,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210323,,,23-Mar-2021,,53.07,111.51,,733.31,,,128.83,,4.76,34.54,29.86,20.73,16.13,0.9,52.23,2.06,,0.36,0.49,0.07
1210,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210324,,,24-Mar-2021,,40.47,78.11,,733.95,,,175.23,,8.31,55.16,46.86,29.18,15.71,1.01,55.12,1.62,,0.86,1.13,0.19
1211,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210325,,,25-Mar-2021,,40.15,99.44,,733.97,,,179.61,,7.01,54.77,47.78,50.88,14.1,1.18,48.63,1.61,,0.94,1.6,0.29
1212,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210326,,,26-Mar-2021,,50.77,110.49,,732.49,,,217.74,,37.9,100.45,62.56,116.36,10.16,1.42,46.34,4.71,,3.17,5.87,1.43
1213,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210327,,,27-Mar-2021,,62.06,139.27,,730.47,,,186.44,,45.48,101.97,56.53,118.89,13.66,1.41,47.94,7.15,,4.51,8.57,2.46
1214,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210328,,,28-Mar-2021,,75.23,158.57,,728.68,,,137.88,,15.61,63.25,47.64,79.21,13.12,1.56,53.93,7.12,,2.99,4.99,1.42
1215,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210329,,,29-Mar-2021,,46.1,109.99,,727.17,,,211.36,,1.07,30.34,29.29,42.23,11.41,0.69,45.58,1.67,,0.98,1.55,0.25
1216,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210330,,,30-Mar-2021,,108.66,322.57,,724.86,,,264.91,,1.67,22.32,20.78,34.23,9.62,0.78,51.17,0.37,,0.31,0.27,0.04
1217,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210331,,,31-Mar-2021,,102.93,219.75,,725.31,,,254.44,,2.01,33.25,31.33,43.74,10.03,1.0,66.71,1.52,,0.73,1.19,0.18
1218,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210401,,,01-Apr-2021,,54.18,120.79,,726.27,,,193.3,,7.93,46.19,38.3,50.12,12.92,1.29,50.17,2.77,,1.95,3.57,1.1
1219,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210402,,,02-Apr-2021,,55.45,117.94,,727.85,,,115.92,,2.74,32.94,30.26,27.98,11.34,1.18,57.88,1.92,,1.15,1.9,0.39
1220,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210403,,,03-Apr-2021,,50.88,109.33,,729.75,,,111.78,,5.24,35.02,29.81,31.22,18.17,1.34,63.46,5.07,,1.32,2.06,0.51
1221,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210404,,,04-Apr-2021,,60.02,115.08,,730.65,,,129.89,,1.43,38.24,36.89,35.75,15.04,1.14,65.93,4.9,,1.24,1.74,0.45
1222,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210405,,,05-Apr-2021,,61.35,136.03,,729.5,,,201.5,,9.8,48.98,39.25,42.84,14.17,1.13,42.81,3.15,,1.88,3.33,0.83
1223,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210406,,,06-Apr-2021,,59.29,141.9,,728.61,,,227.1,,3.6,27.23,23.64,26.34,10.89,0.78,42.28,1.12,,1.18,1.47,0.26
1224,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210407,,,07-Apr-2021,,138.26,231.39,,730.5,,,169.52,,2.49,21.38,18.89,20.95,11.47,0.89,54.89,1.71,,1.03,1.78,0.35
1225,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210408,,,08-Apr-2021,,68.05,132.15,,730.17,,,108.38,,2.23,21.35,19.12,20.38,13.58,0.8,63.79,1.27,,0.84,1.32,0.31
1226,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210409,,,09-Apr-2021,,44.9,95.39,,730.67,,,107.96,,5.72,33.09,27.37,27.4,12.75,0.97,60.74,2.58,,1.64,3.08,0.83
1227,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210410,,,10-Apr-2021,,58.45,111.08,,731.96,,,129.41,,9.26,34.72,25.46,30.78,13.39,1.04,63.03,4.94,,2.55,4.19,1.42
1228,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210411,,,11-Apr-2021,,62.97,111.55,,732.37,,,153.4,,11.33,39.94,28.61,30.43,13.25,1.07,58.27,4.94,,2.37,4.21,1.31
1229,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210412,,,12-Apr-2021,,74.84,145.04,,732.65,,,170.82,,22.11,61.59,39.48,38.77,12.95,1.39,45.8,9.03,,4.78,9.19,2.84
1230,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210413,,,13-Apr-2021,,82.07,151.65,,731.47,,,154.04,,14.69,54.55,39.86,34.74,14.15,1.18,44.47,8.1,,4.96,9.57,3.07
1231,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210414,,,14-Apr-2021,,77.06,166.84,,730.61,,,204.62,,9.86,50.32,40.47,41.23,11.73,1.13,41.76,4.42,,3.8,7.55,2.15
1232,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210415,,,15-Apr-2021,,73.26,129.13,,730.04,,,234.28,,8.47,42.55,34.06,31.52,12.12,1.27,40.13,5.47,,3.98,7.81,2.66
1233,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210416,,,16-Apr-2021,,59.13,172.07,,728.61,,,177.81,,4.82,24.33,19.51,22.61,13.89,0.79,43.15,1.56,,1.64,2.55,0.73
1234,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210417,,,17-Apr-2021,,55.22,90.57,,730.82,,,223.6,,1.67,9.78,8.11,10.58,11.77,0.91,54.57,0.76,,0.17,0.07,
1235,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210418,,,18-Apr-2021,,74.27,127.4,,732.13,,,128.36,,1.35,4.26,2.91,3.2,9.78,1.02,58.38,2.5,,0.28,0.33,0.08
1236,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210419,,,19-Apr-2021,,59.3,114.67,,728.91,,,156.81,,2.57,20.89,18.32,15.28,10.6,0.81,53.48,1.7,,0.58,0.45,0.05
1237,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210420,,,20-Apr-2021,,89.88,210.58,,727.14,,,119.6,,2.68,23.55,20.88,21.04,11.93,0.93,53.62,2.39,,0.57,0.55,0.08
1238,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210421,,,21-Apr-2021,,63.35,126.17,,730.01,,,274.66,,1.89,19.21,17.32,19.76,12.35,0.84,54.45,0.77,,0.14,0.09,
1239,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210422,,,22-Apr-2021,,41.39,67.8,,730.99,,,133.04,,1.39,14.28,12.89,15.16,8.53,1.0,69.82,1.35,,0.07,0.03,
1240,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210423,,,23-Apr-2021,,69.12,135.46,,728.99,,,147.56,,1.58,13.82,12.25,14.8,12.35,0.83,68.34,1.05,,0.06,0.06,
1241,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210424,,,24-Apr-2021,,42.23,77.64,,731.18,,,137.05,,1.62,16.06,14.44,14.61,11.58,0.84,54.53,0.74,,0.11,0.06,
1242,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210425,,,25-Apr-2021,,46.44,98.04,,731.42,,,164.02,,2.05,23.45,21.4,17.89,10.67,1.12,46.97,2.2,,0.61,1.15,0.35
1243,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210426,,,26-Apr-2021,,41.47,96.49,,729.92,,,178.83,,12.84,50.14,37.3,34.24,9.98,1.17,42.78,3.68,,2.01,4.48,1.44
1244,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210427,,,27-Apr-2021,,41.76,104.19,,729.45,,,189.63,,6.46,40.82,34.21,29.06,9.45,1.12,47.73,3.55,,2.28,4.72,1.58
1245,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210428,,,28-Apr-2021,,34.19,111.58,,730.04,,,207.41,,8.18,45.48,37.29,32.86,12.01,1.23,46.11,4.64,,3.25,5.67,2.2
1246,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210429,,,29-Apr-2021,,62.4,165.86,,729.64,,,157.07,,3.87,34.1,30.23,27.26,11.96,1.03,51.47,3.0,,1.76,3.27,0.94
1247,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210430,,,30-Apr-2021,,98.23,198.99,,729.06,,,121.37,,1.52,15.48,13.97,16.31,10.24,0.92,62.43,1.53,,0.17,0.09,
1248,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210501,,,01-May-2021,,69.18,108.69,,729.04,,,160.21,,1.47,14.3,12.83,15.96,11.75,0.94,68.13,0.97,,0.12,0.05,
1249,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20210502,,,02-May-2021,,57.14,100.01,,729.63,,,207.23,,1.71,15.62,13.91,17.56,9.43,0.91,56.55,0.47,,0.06,0.03,
1250,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171201,,,01-Dec-2017,,114.3,192.33,,749.62,,30.38,88.27,,31.78,81.33,106.83,23.53,2.24,1.14,161.47,1.21,10.21,1.38,7.05,1.72
1251,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171202,,,02-Dec-2017,,102.45,175.17,,749.6,,31.03,88.58,,49.14,102.71,121.13,24.13,2.86,1.16,154.24,0.54,8.04,0.34,5.34,
1252,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171203,,,03-Dec-2017,,140.46,193.17,,749.66,,32.95,99.06,,62.04,121.86,138.06,28.09,2.53,0.91,146.48,0.24,5.94,,2.92,0.28
1253,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171204,,,04-Dec-2017,,112.43,191.33,,749.56,,35.14,101.88,,22.32,68.07,91.53,26.36,7.9,0.92,139.33,7.31,27.82,8.01,19.05,5.5
1254,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171205,,,05-Dec-2017,,127.05,178.67,,749.54,,47.57,99.56,,36.3,67.92,72.82,51.22,6.04,0.64,151.71,0.0,2.93,,0.92,
1255,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171206,,,06-Dec-2017,,120.29,162.66,,749.46,,51.88,105.85,,9.26,22.5,30.1,15.02,1.32,0.76,122.72,0.0,1.56,,,0.14
1256,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171207,,,07-Dec-2017,,122.87,194.94,,749.66,,40.21,93.44,,28.24,40.0,27.05,15.69,5.36,1.37,106.75,1.16,10.22,1.01,6.29,0.27
1257,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171208,,,08-Dec-2017,,109.74,200.62,,749.69,,29.52,104.22,,25.54,31.82,23.31,12.01,5.86,1.58,105.74,1.29,12.13,0.78,7.52,0.14
1258,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171209,,,09-Dec-2017,,128.12,204.0,,749.63,,40.06,98.5,,27.03,29.44,20.45,12.83,3.43,1.67,82.66,2.29,15.83,1.58,9.48,1.23
1259,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171210,,,10-Dec-2017,,82.73,147.85,,749.75,,38.65,95.69,,4.47,6.57,11.41,6.2,6.12,0.9,,0.34,10.47,,4.53,
1260,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171211,,,11-Dec-2017,,92.1,177.4,,749.25,,38.23,77.17,,2.7,4.36,10.49,5.83,7.73,1.15,,0.0,,,,
1261,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171212,,,12-Dec-2017,,,,,,,,,,,,,,,,,,,,,
1262,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171213,,,13-Dec-2017,,,,,,,,,,,,,,,,,,,,,
1263,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171214,,,14-Dec-2017,,,,,,,,,,,,,,,,,,,,,
1264,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171215,,,15-Dec-2017,,,,,,,,,,,,,,,,,,,,,
1265,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171216,,,16-Dec-2017,,,,,,,,,,,,,,,,,,,,,
1266,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171217,,,17-Dec-2017,,,,,,,,,,,,,,,,,,,,,
1267,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171218,,,18-Dec-2017,,52.6,97.5,,750.7,,18.04,29.86,,0.17,42.64,83.21,6.83,5.77,1.03,56.82,4.89,4.93,3.66,3.86,4.13
1268,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171219,,,19-Dec-2017,,,,,,,,,,,,,,,,,,,,,
1269,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171220,,,20-Dec-2017,,209.3,,,750.6,,27.22,60.05,,6.57,79.56,148.03,20.98,2.06,1.72,75.59,0.0,2.55,,,
1270,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171221,,,21-Dec-2017,,107.8,183.2,,751.3,,26.59,61.5,,135.45,136.71,10.1,16.83,,1.02,51.21,0.0,2.23,,,
1271,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171222,,,22-Dec-2017,,,,,,,,,,,,,,,,,,,,,
1272,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171223,,,23-Dec-2017,,,,,,,,,,,,,,,,,,,,,
1273,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171224,,,24-Dec-2017,,,,,,,,,,,,,,,,,,,,,
1274,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171225,,,25-Dec-2017,,,,,,,,,,,,,,,,,,,,,
1275,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171226,,,26-Dec-2017,,71.69,234.94,,768.4,,25.96,124.61,,,24.71,52.58,19.39,0.17,0.31,12.8,1.19,0.0,,,
1276,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171227,,,27-Dec-2017,,,,,,,,,,,,,,,,,,,,,
1277,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171228,,,28-Dec-2017,,79.54,267.94,,768.0,,23.27,78.82,,1.64,27.25,49.55,19.99,2.28,0.03,3.59,0.0,0.0,,,
1278,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171229,,,29-Dec-2017,,78.25,281.91,,767.5,,31.13,86.18,,148.16,189.88,108.11,42.23,12.61,1.69,0.9,12.91,79.28,19.39,60.72,12.97
1279,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171230,,,30-Dec-2017,,65.39,208.96,,767.56,,38.11,93.03,,3.33,38.53,68.59,20.67,10.24,0.29,0.03,0.0,7.84,,3.14,
1280,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20171231,,,31-Dec-2017,,93.21,161.24,,760.47,,44.1,90.81,,1.35,23.37,42.69,16.88,9.74,0.25,0.03,0.32,3.99,,,
1281,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180101,,,01-Jan-2018,,85.5,190.15,,764.6,,40.62,109.68,,2.05,33.48,60.89,17.62,10.8,0.32,0.64,0.83,10.72,0.43,3.57,
1282,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180102,,,02-Jan-2018,,92.26,223.49,,767.53,,46.25,109.53,,10.39,46.31,72.63,18.97,10.33,0.4,0.56,0.19,11.25,,5.74,
1283,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180103,,,03-Jan-2018,,102.76,255.7,,767.57,,44.22,114.01,,46.47,112.92,144.71,34.94,8.33,0.62,0.75,3.82,26.2,2.15,14.66,2.1
1284,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180104,,,04-Jan-2018,,88.4,179.15,,767.52,,41.97,98.7,,35.69,96.39,148.63,30.67,18.1,1.25,1.09,2.31,15.51,1.0,7.68,
1285,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180105,,,05-Jan-2018,,112.64,195.19,,767.56,,40.04,86.66,,10.08,77.72,131.48,21.36,8.56,1.25,0.25,2.54,17.71,1.36,11.08,0.28
1286,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180106,,,06-Jan-2018,,116.27,197.49,,767.53,,48.07,97.36,,22.91,84.51,126.98,22.8,9.1,1.42,0.25,0.0,12.16,,6.72,
1287,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180107,,,07-Jan-2018,,82.86,157.59,,767.46,,36.11,102.9,,2.4,51.71,96.05,17.03,10.6,1.48,0.24,0.0,2.57,,0.44,
1288,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180108,,,08-Jan-2018,,105.37,210.08,,767.64,,29.61,108.09,,39.51,116.81,166.75,22.41,11.38,1.6,0.32,2.06,17.35,1.51,9.91,0.69
1289,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180109,,,09-Jan-2018,,101.99,207.93,,751.26,,36.54,92.81,,36.92,99.8,140.4,21.57,10.66,2.29,,2.45,15.2,1.53,10.44,0.72
1290,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180110,,,10-Jan-2018,,117.68,230.32,,767.53,,34.63,127.13,,71.98,162.88,209.4,27.04,11.06,0.34,,2.56,28.16,0.96,15.74,
1291,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180111,,,11-Jan-2018,,129.41,258.74,,767.63,,30.44,136.19,,94.93,181.08,208.19,28.62,13.12,0.65,0.36,0.0,17.04,,5.86,0.28
1292,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180112,,,12-Jan-2018,,112.94,220.59,,767.67,,28.53,129.84,,64.15,102.0,142.78,22.26,13.53,1.19,,3.48,19.67,3.99,13.96,2.17
1293,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180113,,,13-Jan-2018,,189.46,346.38,,767.58,,40.44,104.91,,143.24,260.37,254.3,36.45,8.91,2.25,,10.12,54.05,7.61,36.13,0.04
1294,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180114,,,14-Jan-2018,,37.54,74.34,,,,15.14,40.99,,1.89,7.87,15.0,2.75,3.29,0.04,,0.0,4.81,,2.71,
1295,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180115,,,15-Jan-2018,,68.68,150.34,,747.96,,18.99,125.59,,5.04,7.58,5.25,3.02,12.55,1.19,,0.0,1.98,,1.36,0.09
1296,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180116,,,16-Jan-2018,,80.8,160.61,,764.94,,21.58,107.38,,3.9,3.55,4.62,6.36,13.74,1.21,0.81,0.07,1.26,,0.69,
1297,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180117,,,17-Jan-2018,,72.6,142.6,,762.51,,27.45,85.68,,1.87,1.99,7.28,10.45,11.4,0.19,,0.0,0.51,,0.16,
1298,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180118,,,18-Jan-2018,,78.34,169.63,,762.38,,35.34,96.41,,2.04,1.66,6.73,13.01,11.38,0.01,,0.11,1.32,0.05,0.79,0.03
1299,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180119,,,19-Jan-2018,,92.2,192.0,,762.4,,41.11,110.97,,2.38,1.66,7.71,16.5,10.0,0.0,,0.01,0.59,,0.22,
1300,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180120,,,20-Jan-2018,,108.33,184.96,,762.42,,34.97,107.59,,3.04,,8.35,18.68,11.21,0.0,,0.02,0.48,,0.06,
1301,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180121,,,21-Jan-2018,,100.85,191.14,,762.38,,34.69,94.75,,3.09,,8.33,19.45,10.36,0.02,,0.0,0.93,,0.17,
1302,Jaipur,"Police Commissionerate, Jaipur - RSPCB",site_134,Rajasthan,run2_rajasthan_jaipur_site_134_20180122,,,22-Jan-2018,,73.52,122.79,,762.34,,40.91,76.21,,1.63,0.16,6.74,9.71,16.53,0.02,,0.0,0.13,,,
