SNO,City,Cite,Site_Code,State,Query ID,,,Date,,pm2.5,pm10,AT,BP,SR,RH,WD,RF,NO,Nox,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene
22,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171222,,,22-Dec-2017,,30.41,87.05,,756.43,,14.5,99.66,,16.72,34.97,18.91,10.57,5.12,1.01,40.27,3.08,,1.85,4.32,1.09
23,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171223,,,23-Dec-2017,,48.37,163.35,,753.95,,15.7,207.99,,56.95,54.98,16.88,31.1,7.78,1.83,31.49,13.99,,6.9,15.03,4.75
24,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171224,,,24-Dec-2017,,53.35,143.79,,753.42,,14.36,142.87,,33.45,48.27,18.69,25.65,4.95,1.13,24.45,7.91,,5.34,11.73,3.21
25,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171225,,,25-Dec-2017,,59.46,140.95,,754.97,,15.28,168.88,,30.78,48.16,21.61,24.41,9.01,0.91,37.67,8.99,,3.78,9.51,2.52
26,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171226,,,26-Dec-2017,,57.52,179.44,,755.39,,15.38,158.09,,59.77,58.15,19.25,31.85,8.05,1.25,46.5,9.48,,4.28,10.63,3.18
27,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171227,,,27-Dec-2017,,56.56,158.61,,754.66,,18.72,161.97,,29.59,37.39,16.07,12.06,5.4,1.43,41.77,11.09,,9.39,16.02,8.76
28,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171228,,,28-Dec-2017,,56.12,141.49,,754.42,,,120.55,,25.43,61.31,35.88,5.58,7.44,0.95,39.22,8.17,,4.08,9.22,2.37
29,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171229,,,29-Dec-2017,,60.0,160.37,,754.67,,,141.55,,21.55,56.65,35.11,6.36,10.62,1.15,51.55,8.33,,3.08,8.74,2.55
30,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171230,,,30-Dec-2017,,59.54,193.29,,754.64,,,105.4,,12.31,45.1,32.79,8.59,16.14,0.9,63.25,5.89,,1.57,6.01,1.87
31,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171231,,,31-Dec-2017,,74.11,186.97,,753.84,,,106.26,,14.13,42.03,28.05,8.42,13.98,1.25,54.35,8.64,,2.71,6.09,2.13
