S. No.,Date,Day,Confirmed Cases,Active Cases,Cured/Discharged,Death
116,05-07-2020,1,19532,3445,15640,447
117,06-07-2020,2,20164,3780,15928,456
118,07-07-2020,3,20688,3949,16278,461
119,08-07-2020,4,21404,4357,16575,472
120,09-07-2020,5,22063,4715,16866,482
121,10-07-2020,6,22563,5002,17070,491
122,11-07-2020,7,23174,5057,17620,497
123,12-07-2020,1,23748,5376,17869,503
124,13-07-2020,2,24392,5779,18103,510
125,14-07-2020,3,24936,5781,18630,525
126,15-07-2020,4,25571,5885,19161,525
127,16-07-2020,5,26437,6405,19502,530
128,17-07-2020,6,27174,6666,19970,538
129,18-07-2020,7,27789,6617,20626,546
130,19-07-2020,1,28500,6803,21144,553
131,20-07-2020,2,29434,7145,21730,559
132,21-07-2020,3,30390,7627,22195,568
133,22-07-2020,4,31373,8052,22744,577
134,23-07-2020,5,32334,8387,23364,583
135,24-07-2020,6,33220,8811,23815,594
136,25-07-2020,7,34178,9029,24547,602
137,26-07-2020,1,35298,9379,25306,613
138,27-07-2020,2,35909,9935,25353,621
139,28-07-2020,3,36878,10124,26123,631
140,29-07-2020,4,38514,10668,27202,644
141,30-07-2020,5,38964,10745,27569,650
142,31-07-2020,6,40145,11097,28385,663
143,01-08-2020,7,41298,11589,29035,674
144,02-08-2020,1,42646,11979,29977,690
145,03-08-2020,2,43804,12391,30710,703
146,04-08-2020,3,44975,12802,31458,715
147,05-08-2020,4,46679,13115,32832,732
148,06-08-2020,5,47272,12678,33849,745
149,07-08-2020,6,48996,13108,35131,757
150,08-08-2020,7,50157,13195,36195,767
151,09-08-2020,1,51328,13387,37163,778
152,10-08-2020,2,52497,13473,38235,789
153,11-08-2020,3,53670,13810,39060,800
154,12-08-2020,4,54887,13677,40399,811
155,13-08-2020,5,56100,13630,41648,822
156,14-08-2020,6,57414,14762,41819,833
157,15-08-2020,7,58692,13949,43897,846
158,16-08-2020,1,59979,13863,45254,862
159,17-08-2020,2,61296,13816,46604,876
160,18-08-2020,3,62630,14089,47654,887
161,19-08-2020,4,63977,14119,48960,898
162,20-08-2020,5,65289,14416,49963,910
163,21-08-2020,6,66619,14508,51190,921
164,22-08-2020,7,67954,14525,52496,933
165,23-08-2020,1,69264,14176,54144,944
166,24-08-2020,2,70609,14330,55324,955
167,25-08-2020,3,71955,14388,56600,967
168,26-08-2020,4,73325,14219,58126,980
169,27-08-2020,5,74670,14099,59579,992
170,28-08-2020,6,76015,14425,60585,1005
171,29-08-2020,7,77370,14320,62033,1017
172,30-08-2020,1,78777,14776,62971,1030
173,31-08-2020,2,80227,14091,65093,1043
174,01-09-2020,3,81693,13825,66812,1056
175,02-09-2020,4,83163,13970,68124,1069
176,03-09-2020,5,84674,12919,70674,1081
177,04-09-2020,6,86227,13912,71220,1095
178,05-09-2020,7,87797,14790,71899,1108
179,06-09-2020,1,89363,14996,73245,1122
180,07-09-2020,2,90956,14958,74861,1137
181,08-09-2020,3,92536,14958,76427,1151
182,09-09-2020,4,94126,15090,77872,1164
183,10-09-2020,5,95736,15108,79450,1178
184,11-09-2020,6,97376,15702,80482,1192
185,12-09-2020,7,99036,15859,81970,1207
186,13-09-2020,1,100705,16582,82902,1221
187,14-09-2020,2,102408,16654,84518,1236
188,15-09-2020,3,104138,16726,86162,1250
189,16-09-2020,4,105898,16761,87873,1264
190,17-09-2020,5,107680,17049,89352,1279
191,18-09-2020,6,109473,17495,90685,1293
192,19-09-2020,7,111290,17717,92265,1308
193,20-09-2020,1,113124,17997,93805,1322
194,21-09-2020,2,114989,18184,95469,1336
195,22-09-2020,3,116881,18245,97284,1352
196,23-09-2020,4,118793,18614,98812,1367
197,24-09-2020,5,120739,18992,100365,1382
198,25-09-2020,6,122720,18993,102330,1397
199,26-09-2020,7,124730,19030,104288,1412
200,27-09-2020,1,126775,19355,105994,1426
201,28-09-2020,2,128859,19700,107718,1441
202,29-09-2020,3,130971,20043,109472,1456
203,30-09-2020,4,133119,20376,111272,1471
204,01-10-2020,5,135292,20581,113225,1486
205,02-10-2020,6,137485,20807,115178,1500
206,03-10-2020,7,139696,20942,117238,1516
207,04-10-2020,1,141846,21075,119241,1530
208,05-10-2020,2,144030,21154,121331,1545
209,06-10-2020,3,146195,21215,123421,1559
210,07-10-2020,4,148316,21294,125448,1574
211,08-10-2020,5,150467,21351,127526,1590
212,09-10-2020,6,152605,21382,129618,1605
213,10-10-2020,7,154785,21398,131766,1621
214,11-10-2020,1,156908,21354,133918,1636
215,12-10-2020,2,159052,21412,135990,1650
216,13-10-2020,3,161184,21671,137848,1665
217,14-10-2020,4,163219,21924,139616,1679
218,15-10-2020,5,165240,21711,141835,1694
219,16-10-2020,6,167279,21587,143984,1708
220,17-10-2020,7,169289,21381,146185,1723
221,18-10-2020,1,171281,21255,148291,1735
222,19-10-2020,2,173266,21139,150379,1748
223,20-10-2020,3,175226,20893,152573,1760
224,21-10-2020,4,177123,20254,155095,1774
225,22-10-2020,5,178933,19185,157960,1788
226,23-10-2020,6,180755,18341,160614,1800
227,24-10-2020,7,182570,17775,162981,1814
228,25-10-2020,1,184422,17100,165496,1826
229,26-10-2020,2,186243,16668,167736,1839
